Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2024,ALASKA,"CLAM, PACIFIC GEODUCK",337190,153,3003670,Public,Commercial,Panopea abrupta,81779,AKFIN
2024,ALASKA,"COD, PACIFIC",373778955,169545,106444664,Public,Commercial,Gadus macrocephalus,164711,AKFIN
2024,ALASKA,"CRAB, DUNGENESS",5669616,2572,18015383,Public,Commercial,Cancer magister,98675,AKFIN
2024,ALASKA,"CRAB, KING **",8134023,3690,109090007,Public,Commercial,Paralithodes,97934,AKFIN
2024,ALASKA,"CRAB, SOUTHERN TANNER",7199640,3266,26029381,Public,Commercial,Chionoecetes bairdi,98429,AKFIN
2024,ALASKA,CRUSTACEANS **,135038,61,1229807,Public,Commercial,Crustacea,83677,AKFIN
2024,ALASKA,"CUCUMBERS, SEA **",1980904,899,9779889,Public,Commercial,Holothuroidea,158140,AKFIN
2024,ALASKA,FLATFISHES **,33266821,15090,5716901,Public,Commercial,Pleuronectiformes,172702,AKFIN
2024,ALASKA,"FLOUNDER, ARROWTOOTH",57584237,26120,7700533,Public,Commercial,Atheresthes stomias,172862,AKFIN
2024,ALASKA,"HALIBUT, GREENLAND",1651359,749,1003758,Public,Commercial,Reinhardtius hippoglossoides,172930,AKFIN
2024,ALASKA,"HALIBUT, PACIFIC",18787158,8522,73453552,Public,Commercial,Hippoglossus stenolepis,172932,AKFIN
2024,ALASKA,"HERRING, PACIFIC",32381898,14688,5393691,Public,Commercial,Clupea pallasii,551209,AKFIN
2024,ALASKA,LINGCOD,525453,238,567299,Public,Commercial,Ophiodon elongatus,167116,AKFIN
2024,ALASKA,"MACKEREL, ATKA",158345700,71825,39845623,Public,Commercial,Pleurogrammus monopterygius,167120,AKFIN
2024,ALASKA,OCTOPUSES **,482669,219,271561,Public,Commercial,Octopodidae,82590,AKFIN
2024,ALASKA,"POLLOCK, WALLEYE ",3141574287,1425009,432472430,Public,Commercial,Gadus chalcogrammus,934083,AKFIN
2024,ALASKA,"ROCKFISH, PACIFIC OCEAN PERCH",135020698,61245,22268345,Public,Commercial,Sebastes alutus,166707,AKFIN
2024,ALASKA,"ROCKFISH, WIDOW",73247,33,6228,Public,Commercial,Sebastes entomelas,166719,AKFIN
2024,ALASKA,"ROCKFISH, YELLOWTAIL",6459,3,1812,Public,Commercial,Sebastes flavidus,166720,AKFIN
2024,ALASKA,ROCKFISHES **,30598949,13880,6033823,Public,Commercial,Sebastes ,166705,AKFIN
2024,ALASKA,SABLEFISH,51292371,23266,82432434,Public,Commercial,Anoplopoma fimbria,167123,AKFIN
2024,ALASKA,"SALMON, CHINOOK",2422390,1099,13046604,Public,Commercial,Oncorhynchus tshawytscha,161980,AKFIN
2024,ALASKA,"SALMON, CHUM",90729873,41155,45700570,Public,Commercial,Oncorhynchus keta,161976,AKFIN
2024,ALASKA,"SALMON, COHO",10196073,4625,13022910,Public,Commercial,Oncorhynchus kisutch,161977,AKFIN
2024,ALASKA,"SALMON, PACIFIC **",,,3692,Public,Commercial,Oncorhynchus,161974,AKFIN
2024,ALASKA,"SALMON, PINK",101001579,45814,33807724,Public,Commercial,Oncorhynchus gorbuscha,161975,AKFIN
2024,ALASKA,"SALMON, SOCKEYE",195555600,88703,258720709,Public,Commercial,Oncorhynchus nerka,161979,AKFIN
2024,ALASKA,"SCALLOP, WEATHERVANE",19319,9,156919,Public,Commercial,Patinopecten caurinus,79757,AKFIN
2024,ALASKA,"SHARK, DOGFISH, SPINY",14650,7,1056,Public,Commercial,Squalus acanthias,160617,AKFIN
2024,ALASKA,"SHRIMPS, PENAEID **",788316,358,3318707,Public,Commercial,Penaeidae,95602,AKFIN
2024,ALASKA,"SKATES, RAJIDAE (FAMILY) **",30837607,13988,665305,Public,Commercial,Rajidae,160845,AKFIN
2024,ALASKA,"SOLE, BUTTER",403867,183,34507,Public,Commercial,Isopsetta isolepis,172919,AKFIN
2024,ALASKA,"SOLE, ENGLISH",829456,376,59102,Public,Commercial,Parophrys vetulus,172921,AKFIN
2024,ALASKA,"SOLE, FLATHEAD",28983413,13147,4837619,Public,Commercial,Hippoglossoides elassodon,172875,AKFIN
2024,ALASKA,"SOLE, REX",4154505,1884,1101437,Public,Commercial,Glyptocephalus zachirus,172978,AKFIN
2024,ALASKA,"SOLE, ROCK",65640224,29774,10868277,Public,Commercial,Paraplagusia bilineata,173105,AKFIN
2024,ALASKA,"SOLE, SAND",16687,8,2919,Public,Commercial,Psettichthys melanostictus,172928,AKFIN
2024,ALASKA,"SOLE, YELLOWFIN",197469076,89571,31997940,Public,Commercial,Limanda aspera,172907,AKFIN
2024,ALASKA,"VERTEBRATES, JAWED",125158,57,12002,Public,Commercial,Gnathostomata ,914179,AKFIN
2023,ALASKA,"CLAM, PACIFIC GEODUCK",518920,235,4722860,Public,Commercial,Panopea abrupta,81779,AKFIN
2023,ALASKA,"COD, PACIFIC",373694220,169507,151605119,Public,Commercial,Gadus macrocephalus,164711,AKFIN
2023,ALASKA,"CRAB, DUNGENESS",7452078,3380,14756866,Public,Commercial,Cancer magister,98675,AKFIN
2023,ALASKA,"CRAB, KING **",9102922,4129,95733985,Public,Commercial,Paralithodes,97934,AKFIN
2023,ALASKA,"CRAB, SOUTHERN TANNER",10544669,4783,34832588,Public,Commercial,Chionoecetes bairdi,98429,AKFIN
2023,ALASKA,CRUSTACEANS **,154012,70,1517143,Public,Commercial,Crustacea,83677,AKFIN
2023,ALASKA,"CUCUMBERS, SEA **",1797449,815,9226262,Public,Commercial,Holothuroidea,158140,AKFIN
2023,ALASKA,FLATFISHES **,46511144,21097,8821072,Public,Commercial,Pleuronectiformes,172702,AKFIN
2023,ALASKA,"FLOUNDER, ARROWTOOTH",31854119,14449,3921852,Public,Commercial,Atheresthes stomias,172862,AKFIN
2023,ALASKA,"HALIBUT, GREENLAND",2681573,1216,1650251,Public,Commercial,Reinhardtius hippoglossoides,172930,AKFIN
2023,ALASKA,"HALIBUT, PACIFIC",20761759,9417,85388586,Public,Commercial,Hippoglossus stenolepis,172932,AKFIN
2023,ALASKA,"HERRING, PACIFIC",33761846,15314,12579669,Public,Commercial,Clupea pallasii,551209,AKFIN
2023,ALASKA,LINGCOD,550141,250,653583,Public,Commercial,Ophiodon elongatus,167116,AKFIN
2023,ALASKA,"MACKEREL, ATKA",145565617,66028,37937437,Public,Commercial,Pleurogrammus monopterygius,167120,AKFIN
2023,ALASKA,OCTOPUSES **,247445,112,112448,Public,Commercial,Octopodidae,82590,AKFIN
2023,ALASKA,"POLLOCK, WALLEYE ",3159375574,1433083,523611687,Public,Commercial,Gadus chalcogrammus,934083,AKFIN
